videoURL,thumbnailURL,talkTitle,
https://vimeo.com/groups/quantifiedself/videos/111370287,https://i.vimeocdn.com/video/495987957_295x166.jpg,What I learned from Emotion Tracking - Benjamin Bolland - Quantified Self Meetup Berlin,
https://vimeo.com/groups/quantifiedself/videos/111144350,https://i.vimeocdn.com/video/495666738_295x166.jpg,Sacha Chua: You Can Lead a Cat to Litter,
https://vimeo.com/groups/quantifiedself/videos/111139635,https://i.vimeocdn.com/video/495666207_295x166.jpg,Jed Meltzer: Brain Stimulation and Brain Imaging,
https://vimeo.com/groups/quantifiedself/videos/110943886,https://i.vimeocdn.com/video/495665602_295x166.jpg,Thomas Anderson: Quantified Personality,
https://vimeo.com/groups/quantifiedself/videos/110824065,https://i.vimeocdn.com/video/495224978_295x166.jpg,Ben Rubin - On Blood & Quantification - Boston QS,
https://vimeo.com/groups/quantifiedself/videos/110824064,https://i.vimeocdn.com/video/495224759_295x166.jpg,Siva Raj - Normalizing Blood Pressure by Improving Fitness - Boston QS,
https://vimeo.com/groups/quantifiedself/videos/110824066,https://i.vimeocdn.com/video/495225094_295x166.jpg,Mike Brown - The Young Urban Unprofessional - Boston QS,
https://vimeo.com/groups/quantifiedself/videos/110418448,https://i.vimeocdn.com/video/494662387_295x166.jpg,Jamie Williams: Exploring my Tracking Data,
https://vimeo.com/groups/quantifiedself/videos/110298341,https://i.vimeocdn.com/video/494495334_295x166.jpg,Sue Lueder: Solving a Food Allergy Mystery,
https://vimeo.com/groups/quantifiedself/videos/108722655,https://i.vimeocdn.com/video/492495868_295x166.jpg,Shawn Dimantha - Using Facebook for Health Insights,
https://vimeo.com/groups/quantifiedself/videos/108722654,https://i.vimeocdn.com/video/492495804_295x166.jpg,David Joerg- September 2014,
https://vimeo.com/groups/quantifiedself/videos/108310457,https://i.vimeocdn.com/video/492495617_295x166.jpg,Richard Ryan - Walking the Talk: How to do QS,
https://vimeo.com/groups/quantifiedself/videos/108310456,https://i.vimeocdn.com/video/492495455_295x166.jpg,Akshay Patil - Better relationships through technology,
https://vimeo.com/groups/quantifiedself/videos/106720029,https://i.vimeocdn.com/video/489921555_295x166.jpg,Bits and Bobs,
https://vimeo.com/groups/quantifiedself/videos/106694186,https://i.vimeocdn.com/video/489916550_295x166.jpg,My Music Listening Habits,
https://vimeo.com/groups/quantifiedself/videos/106520298,https://i.vimeocdn.com/video/489669208_295x166.jpg,James Norris: A Life of Firsts,
https://vimeo.com/groups/quantifiedself/videos/105513627,https://i.vimeocdn.com/video/488328201_295x166.jpg,QS Flow,
https://vimeo.com/groups/quantifiedself/videos/104559409,https://i.vimeocdn.com/video/487795048_295x166.jpg,Kouris Kalligas: Analyzing Changes in My Weight and Sleep,
https://vimeo.com/groups/quantifiedself/videos/104498819,https://i.vimeocdn.com/video/487111143_295x166.jpg,Florian Schumacher: A Goal For Each Month,
https://vimeo.com/groups/quantifiedself/videos/103711750,https://i.vimeocdn.com/video/486041921_295x166.jpg,Ian Forrester: Tracking Media Consumption,
https://vimeo.com/groups/quantifiedself/videos/103711748,https://i.vimeocdn.com/video/486042118_295x166.jpg,Cors Brinkman: Lifelog as Self-Portrait,
